address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"681 LINWOOD AVE, Buffalo",0898000001017400,89.80-1-17.4,"$68,255",5/9/2006,"$81,000",Residential - 1 Family ResOld style,75 x 41.11,1900,"1,920",4,1.5,0
"70 SWEET, Buffalo",1123700004045000,112.37-4-45,"$18,100",5/8/2006,"$2,000",Vacant Land - Res vac land ,30 x 100,,,,,
"278 HOLLY, Buffalo",1234200004015000,123.42-4-15,"$70,500",5/5/2006,"$88,000",Residential - 1 Family ResOld style,40 x 101,1925,"1,380",3,2,0
"66 NORWALK, Buffalo",0787300005014000,78.73-5-14,"$89,000",5/5/2006,"$235,000",Residential - 2 Family ResOld style,40 x 155,1910,"2,512",6,2,1
"17 FOLGER, Buffalo",1333800002023000,133.38-2-23,"$40,000",5/5/2006,"$80,000",Residential - 1 Family ResOld style,30 x 120,1878,"1,432",3,1.5,0
"62 OLCOTT, Buffalo",1333100005027000,133.31-5-27,"$76,000",5/5/2006,"$125,000",Residential - 1 Family ResOld style,35 x 168,1900,"1,340",3,2,0
"1259 WEST, Buffalo",0887400002033000,88.74-2-33,"$18,000",5/3/2006,"$162,000",Residential - Multiple resOld style,26 x 148.5,1900,"2,320",6,2,0
"25 LISBON, Buffalo",0796200004003000,79.62-4-3,"$80,000",5/3/2006,"$131,000",Commercial - Apartment ,40 x 118,,,,,
"19 SATTLER, Buffalo",1015000003029000,101.50-3-29,"$31,900",5/2/2006,"$43,000",Residential - 1 Family ResOld style,32 x 113,1909,"1,518",5,1.5,0
"276 FENTON, Buffalo",1234200003014000,123.42-3-14,"$57,820",5/1/2006,"$80,000",Residential - 2 Family ResOld style,30 x 101,1900,"2,308",5,2,0
"178 HASTINGS, Buffalo",0903400005019000,90.34-5-19,"$37,600",5/1/2006,"$41,000",Residential - 1 Family ResOld style,30 x 105,1927,"1,086",2,1,0
"125 EDWARD, Buffalo",11122000100051002F,111.22-10-5.1/2F,"$106,100",5/1/2006,"$100,000",Commercial - ApartmentOther style,7 x 120,1900,"1,079",2,1,0
"654 UTICA EAST, Buffalo",1005200006049000,100.52-6-49,"$33,500",5/1/2006,"$44,000",Residential - 2 Family ResOld style,30 x 120,1875,"2,696",6,2,0
"203 CONGRESS, Buffalo",0887500006036000,88.75-6-36,"$28,000",4/28/2006,"$59,000",Residential - 1 Family ResOld style,24 x 134,1890,"1,404",3,1,0
