address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"35 ELMVIEW, Buffalo",0892100006066000,89.21-6-66,"$95,000",7/19/2011,"$186,000",Residential - 2 Family ResOld style,35 x 105,1910,"2,704",6,2,0
"166 ST LAWRENCE, Buffalo",0784000003046000,78.40-3-46,"$70,000",7/18/2011,"$127,000",Residential - 1 Family ResCape cod,44 x 100,1952,"1,131",2,1,0
"152 SHEFFIELD, Buffalo",1335600001058100,133.56-1-58.1,"$77,000",7/18/2011,"$109,000",Residential - 1 Family ResOld style,35 x 116,1928,"1,389",3,1,0
"114 SUNSET, Buffalo",0776000001004000,77.60-1-4,"$72,600",7/15/2011,"$92,000",Residential - 2 Family ResCape cod,50 x 104.5,1955,"1,502",4,2,0
"666 FERRY WEST, Buffalo",1003000001062000,100.30-1-62,"$147,500",7/15/2011,"$230,000",Residential - 1 Family ResTownhouse,21 x 34.4,1980,"1,428",2,1.5,0
"111 NEWMAN, Buffalo",1334300004002000,133.43-4-2,"$75,100",7/15/2011,"$88,000",Residential - 1 Family ResOld style,33 x 106,1920,"1,742",4,2,0
"26 BRAYTON, Buffalo",0995200003012000,99.52-3-12,"$60,000",7/15/2011,"$198,000",Commercial - Apartment ,59 x 157,,,,,
"243 NORTH PARK, Buffalo",0785700005026000,78.57-5-26,"$114,000",7/15/2011,"$170,000",Residential - 1 Family ResOld style,33 x 125,1920,"1,501",3,1.5,0
"240 HOLLY, Buffalo",1234200004024000,123.42-4-24,"$48,900",7/15/2011,"$84,000",Residential - 1 Family ResOld style,30 x 100,1925,"1,250",3,1,0
"183 SHEFFIELD, Buffalo",1335600002033000,133.56-2-33,"$60,000",7/15/2011,"$87,000",Residential - 1 Family ResOld style,30 x 115,1920,"1,226",4,1,0
"75 OJIBWA, Buffalo",1106000001002200301,110.60-1-2.2/301,"$212,500",7/15/2011,"$296,000",Residential - 1 Family ResOther style,5 x 0,1991,"1,221",2,2,0
"21 OAKLAND, Buffalo",1006200002009000,100.62-2-9,"$600,000",7/15/2011,"$533,000",Residential - 1 Family ResCape cod,57.5 x 148.57,1972,"2,877",2,3.5,1
"31 ATHOL, Buffalo",1333300001007000,133.33-1-7,"$94,900",7/15/2011,"$135,000",Residential - 1 Family ResOld style,33 x 124,1930,"1,615",3,2,0
"543 DARTMOUTH, Buffalo",0798200003018000,79.82-3-18,"$27,500",7/14/2011,"$43,000",Residential - 1 Family ResOld style,31 x 108,1925,"1,056",2,1,0
"357 NORWALK, Buffalo",0785000006038000,78.50-6-38,"$135,000",7/14/2011,"$190,000",Residential - 1 Family ResOld style,33 x 141,1930,"1,377",3,1.5,1
"67 MERRIMAC, Buffalo",0794600006016000,79.46-6-16,"$95,000",7/14/2011,"$120,000",Residential - 2 Family ResOld style,30 x 115,1925,"2,226",8,2,0
"440 SWEET, Buffalo",1016900003023000,101.69-3-23,"$21,000",7/13/2011,"$20,000",Residential - 2 Family ResOld style,30 x 94,1910,"1,602",4,2,0
"26 REJTAN, Buffalo",1232500001008000,123.25-1-8,"$87,900",7/13/2011,"$92,000",Residential - 1 Family ResColonial,70 x 107,1969,"1,976",4,1.5,0
"10 DUANE, Buffalo",0892700005015000,89.27-5-15,"$300,000",7/13/2011,"$352,000",Residential - 1 Family ResOld style,60.37 x 145,1928,"2,289",3,1.5,1
"101 SPAULDING, Buffalo",1332200006008000,133.22-6-8,"$45,000",7/12/2011,"$50,000",Residential - 2 Family ResOld style,30 x 100,1910,"1,936",6,2,0
"21 PAWNEE, Buffalo",1236500003017000,123.65-3-17,"$79,700",7/11/2011,"$123,000",Residential - 1 Family ResOld style,42 x 100,1920,"1,716",4,1.5,0
"496 PORTER, Buffalo",0997600003007000,99.76-3-7,"$140,000",7/11/2011,"$245,000",Residential - 2 Family ResOld style,30 x 0,1900,"2,544",4,3,1
"25 PELHAM, Buffalo",0794700003022000,79.47-3-22,"$184,900",7/11/2011,"$232,000",Residential - 1 Family ResOld style,50 x 134,1925,"2,421",4,2,1
"116 OAKLAND, Buffalo",1005400001013000,100.54-1-13,"$707,500",7/11/2011,"$799,000",Residential - 1 Family ResMansion,51 x 275,1910,"5,767",5,4.5,3
"444 OLYMPIC, Buffalo",0904000004013000,90.40-4-13,"$26,000",7/11/2011,"$46,000",Residential - 1 Family ResOld style,34.16 x 120,1920,"1,309",4,2,0
"253 WOODSIDE, Buffalo",1335700004001000,133.57-4-1,"$142,500",7/11/2011,"$189,000",Residential - 2 Family ResOld style,35 x 150,1900,"2,784",6,2,0
"15 DAKOTA, Buffalo",0787100001026000,78.71-1-26,"$83,000",7/8/2011,"$129,000",Residential - 1 Family ResOld style,30.5 x 155,1920,"1,133",3,1,0
"202 CAROLINA, Buffalo",1103600006025000,110.36-6-25,"$62,500",7/8/2011,"$62,000",Commercial - Det row bldg ,25 x 89,,,,,
"78 FAIRFIELD, Buffalo",0893500003004000,89.35-3-4,"$68,829",7/8/2011,"$173,000",Residential - 2 Family ResOld style,30 x 167,1923,"2,720",6,2,0
"37 WINGATE, Buffalo",0786800006022000,78.68-6-22,"$220,000",7/8/2011,"$262,000",Residential - 1 Family ResOld style,44 x 133,1929,"2,085",3,2.5,1
"542 LA SALLE, Buffalo",0797300006029000,79.73-6-29,"$51,290",7/8/2011,"$49,000",Residential - 1 Family ResOld style,30 x 131,1920,"1,356",4,2,0
"63 WINSPEAR WEST, Buffalo",0795400001031000,79.54-1-31,"$60,500",7/8/2011,"$111,000",Residential - 1 Family ResOld style,34 x 0,1925,"1,688",4,1.5,0
"346 PENNSYLVANIA, Buffalo",0997600008014000,99.76-8-14,"$75,000",7/8/2011,"$353,000",Residential - Multiple resOld style,32 x 120,1902,"2,040",4,4,0
"511 DELAVAN WEST, Buffalo",0897700006003000,89.77-6-3,"$278,000",7/7/2011,"$301,000",Residential - 1 Family ResOld style,47.16 x 41.86,1900,"2,019",4,1.5,1
"48 MIDDLEBURY, Buffalo",0890600007024000,89.06-7-24,"$365,000",7/7/2011,"$729,000",Residential - 1 Family ResRanch,90.9 x 0,1955,"3,686",4,3.5,1
"97 ELMHURST, Buffalo",0892200003009000,89.22-3-9,"$116,000",7/7/2011,"$189,000",Residential - 2 Family ResCape cod,42 x 105,1965,"2,156",5,2,0
"95 MEADOW, Buffalo",0890600003023000,89.06-3-23,"$435,000",7/7/2011,"$563,000",Residential - 1 Family ResColonial,75 x 201,1925,"3,006",3,2.5,2
"1088 DELAWARE, Buffalo",10039000010320005D,100.39-1-32./5D,"$120,000",7/7/2011,"$81,000",Commercial - ApartmentOther style,2 x 215,1990,791,1,1,0
"889 RICHMOND, Buffalo",0896100002040000,89.61-2-40,"$129,000",7/5/2011,"$213,000",Residential - 2 Family ResOld style,30 x 115,1900,"2,352",6,2,0
"795 BAILEY, Buffalo",1232400001019100,123.24-1-19.1,"$50,000",7/5/2011,"$77,000",Commercial - Auto body ,107 x 360,,,,,
"96 STARIN, Buffalo",0788300004013000,78.83-4-13,"$410,000",7/1/2011,"$431,000",Residential - 1 Family ResOld style,60 x 169,1925,"2,912",4,3.5,1
"1600 HERTEL, Buffalo",0786700001026000,78.67-1-26,"$200,000",7/1/2011,"$245,000",Commercial - Office bldg. ,105 x 40.36,,,,,
"454 PROSPECT, Buffalo",0998300006005000,99.83-6-5,"$42,400",7/1/2011,"$173,000",Residential - 2 Family ResOld style,29 x 132,1890,"1,948",4,2,0
"92 INWOOD, Buffalo",0896300004027000,89.63-4-27,"$185,000",7/1/2011,"$355,000",Residential - 2 Family ResOld style,36 x 110,1910,"3,115",4,2,0
"502 BERKSHIRE, Buffalo",0798100005036000,79.81-5-36,"$27,000",7/1/2011,"$47,000",Residential - 2 Family ResOld style,30 x 110,1925,"1,603",4,2,0
"61 WELLINGTON, Buffalo",0787400002041000,78.74-2-41,"$129,000",7/1/2011,"$250,000",Residential - 2 Family ResOld style,33.33 x 186,1915,"2,438",5,2,0
"307 LAKEFRONT, Buffalo",1105900001048000,110.59-1-48,"$278,000",7/1/2011,"$294,000",Residential - 1 Family ResTownhouse,25 x 46.33,1988,"1,700",2,2.5,1
"493 AMHERST ST, Buffalo",0882800006004000,88.28-6-4,"$63,500",7/1/2011,"$78,000",Residential - Res w/ComuseOld style,33 x 100,1900,"2,816",4,2,0
"77 COLLINGWOOD, Buffalo",0904000008024000,90.40-8-24,"$34,000",6/30/2011,"$51,000",Residential - 1 Family ResOld style,31 x 106,1925,"1,390",3,1,0
"70 RAMSDELL, Buffalo",0783800003006000,78.38-3-6,"$68,000",6/30/2011,"$135,000",Residential - 1 Family ResOld style,40 x 120,1930,"1,299",3,1.5,0
"43 WADSWORTH, Buffalo",1006900002007000,100.69-2-7,"$185,000",6/30/2011,"$313,000",Residential - 1 Family ResOld style,44.04 x 74,1880,"2,022",3,2,2
"16 ORTON, Buffalo",0998400005005000,99.84-5-5,"$182,000",6/30/2011,"$338,000",Residential - 3 Family ResOld style,33 x 127,1915,"3,123",3,3.5,0
"77 READING, Buffalo",1336200001004000,133.62-1-4,"$135,000",6/30/2011,"$163,000",Commercial - Other Storage ,300 x 107,,,,,
"95 DORCHESTER, Buffalo",0887600005030000,88.76-5-30,"$240,000",6/29/2011,"$330,000",Residential - 1 Family ResOld style,37 x 109,1902,"2,366",4,1.5,0
"75 REMINGTON, Buffalo",1236400006003000,123.64-6-3,"$87,500",6/28/2011,"$98,000",Residential - 2 Family ResOld style,40 x 158,1925,"2,352",6,3,0
"131 CRESCENT, Buffalo",0895000003029000,89.50-3-29,"$149,900",6/28/2011,"$286,000",Residential - 1 Family ResOld style,30 x 110,1900,"1,854",4,2,0
"153 MARTHA, Buffalo",0904200006006000,90.42-6-6,"$20,000",6/28/2011,"$57,000",Residential - 1 Family ResCape cod,51 x 79,1945,"1,358",3,1,0
"191 ROUNDS, Buffalo",0797400002003000,79.74-2-3,"$52,000",6/27/2011,"$60,000",Residential - 2 Family ResOld style,36 x 103,1930,"1,806",4,2,0
"200 MINNESOTA, Buffalo",0797100002019000,79.71-2-19,"$60,000",6/27/2011,"$89,000",Residential - 2 Family ResOld style,40 x 150,1925,"2,541",6,2,0
"83 PARKSIDE CT, Buffalo",0795300004011000,79.53-4-11,"$72,000",6/27/2011,"$126,000",Residential - 1 Family ResCape cod,44 x 132,1953,"1,008",3,1,0
"169 RIDGEWOOD, Buffalo",1336400004012000,133.64-4-12,"$80,000",6/27/2011,"$139,000",Residential - 1 Family ResCape cod,40 x 107,1948,"1,266",3,1,0
"20 ROTHER, Buffalo",1122100005027000,112.21-5-27,"$14,000",6/27/2011,"$19,000",Residential - 2 Family ResOld style,30 x 97,1890,"1,862",4,2,0
"67 OKELL, Buffalo",1337000001018000,133.70-1-18,"$73,000",6/27/2011,"$84,000",Residential - 1 Family ResRanch,50 x 117,1958,"1,144",3,1,0
"92 RICHMOND, Buffalo",0996800005016000,99.68-5-16,"$250,000",6/27/2011,"$272,000",Residential - 1 Family ResOld style,40 x 100,1895,"2,176",3,1.5,1
"17 MAYFAIR, Buffalo",1007000001012000,100.70-1-12,"$364,900",6/24/2011,"$326,000",Residential - 1 Family ResTownhouse,25.5 x 33,1929,"1,500",3,2.5,1
"212 SUMMIT, Buffalo",0893400002001000,89.34-2-1,"$179,000",6/24/2011,"$276,000",Residential - 1 Family ResOld style,33.33 x 182,1920,"2,326",3,1.5,1
"1088 DELAWARE, Buffalo",100390000103200017B,100.39-1-32./17B,"$660,000",6/24/2011,"$138,000",Commercial - ApartmentOther style,2 x 215,1990,"1,343",3,2,0
"305 PORTSIDE, Buffalo",1105900001003200305,110.59-1-3.2/305,"$310,000",6/24/2011,"$780,000",Residential - 1 Family ResTownhouse,11 x 66,1990,"3,121",2,2.5,0
"159 COLLEGE, Buffalo",1006900003016000,100.69-3-16,"$249,000",6/23/2011,"$473,000",Commercial - Apartment ,43.33 x 100,,,,,
"51 CHIPPEWA WEST, Buffalo",1113800002013000,111.38-2-13,"$440,000",6/23/2011,"$241,000",Commercial - Det row bldg ,42 x 91.45,,,,,
"150 CRESCENT, Buffalo",0895000002013000,89.50-2-13,"$166,000",6/23/2011,"$255,000",Residential - 1 Family ResOld style,33 x 220,1910,"2,168",3,1,1
"99 LARCHMONT, Buffalo",0793900001013000,79.39-1-13,"$119,000",6/23/2011,"$177,000",Residential - 1 Family ResOld style,40 x 120,1925,"1,522",3,1.5,1
"67 RYAN SOUTH, Buffalo",1238100010002000,123.81-10-2,"$56,000",6/23/2011,"$92,000",Residential - 1 Family ResCape cod,40 x 110,1955,"1,072",3,1,0
"1112 GENESEE, Buffalo",1007600004014000,100.76-4-14,"$3,000",6/22/2011,"$10,000",Vacant Land - Com vac w/imp ,31.92 x 103,,,,,
"184 GRACE, Buffalo",0777300002009000,77.73-2-9,"$49,000",6/22/2011,"$74,000",Residential - 1 Family ResOld style,40 x 148,1900,"1,690",4,1.5,0
"226 ROESCH, Buffalo",0772500002023100,77.25-2-23.1,"$66,000",6/21/2011,"$77,000",Residential - 2 Family ResOld style,60 x 120,1929,"2,018",6,2,0
"90 MERIDEN, Buffalo",1333300003017000,133.33-3-17,"$152,000",6/21/2011,"$165,000",Residential - 1 Family ResOld style,60 x 145,1932,"2,022",3,1,1
"723 PARKSIDE, Buffalo",0786700001044000,78.67-1-44,"$112,000",6/21/2011,"$252,000",Residential - 1 Family ResOld style,40 x 140,1917,"2,876",3,1.5,1
"112 TAUNTON, Buffalo",0784800001033000,78.48-1-33,"$87,000",6/20/2011,"$168,000",Residential - 1 Family ResOld style,34.5 x 117,1925,"1,408",3,1,0
"85 ROSS, Buffalo",0774900002050000,77.49-2-50,"$42,400",6/20/2011,"$80,000",Residential - 1 Family ResOld style,30 x 110,1927,"1,518",3,1,0
"35 KNOERL, Buffalo",1238100001009000,123.81-1-9,"$54,900",6/20/2011,"$75,000",Residential - 1 Family ResOld style,30 x 133,1900,"1,518",3,2,0
"421 ELK, Buffalo",1221200001009122,122.12-1-9.122,"$575,000",6/17/2011,"$310,000",Vacant Land - Ind vac w/imp ,414.08 x 197,,,,,
"68 PHILADELPHIA, Buffalo",0774200001036000,77.42-1-36,"$48,500",6/17/2011,"$79,000",Residential - 2 Family ResOld style,30 x 140,1926,"2,152",5,2,0
"1972 SOUTH PARK, Buffalo",1334700003043000,133.47-3-43,"$22,000",6/16/2011,"$136,000",Commercial - Det row bldg ,40 x 110,,,,,
"200 CUMBERLAND, Buffalo",1332400003001000,133.24-3-1,"$98,000",6/16/2011,"$134,000",Residential - 2 Family ResOld style,36 x 120,1928,"2,544",6,2,0
"167 STEWART, Buffalo",1015100003003000,101.51-3-3,"$56,100",6/16/2011,"$82,000",Residential - Multiple resOld style,35 x 145.12,1930,"1,275",3,1.5,0
"138 EAST END, Buffalo",0908300004005000,90.83-4-5,"$30,000",6/15/2011,"$41,000",Residential - 1 Family ResOld style,30 x 111,1930,"1,082",3,1,0
"530 RHODE ISLAND, Buffalo",0994400005013200,99.44-5-13.2,"$100,000",6/15/2011,"$71,000",Commercial - Det row bldg ,32 x 52.5,,,,,
"110 GROTE, Buffalo",0778300002013000,77.83-2-13,"$40,000",6/14/2011,"$61,000",Residential - 2 Family ResOld style,30 x 140,1900,"2,288",6,2,0
"180 NEWFIELD, Buffalo",0773300006028000,77.33-6-28,"$53,000",6/13/2011,"$82,000",Residential - 2 Family ResOld style,30 x 107.3,1917,"2,344",6,2,0
"108 MILLICENT, Buffalo",0904100004016000,90.41-4-16,"$59,360",6/13/2011,"$50,000",Residential - 1 Family ResOld style,32 x 105,1928,"1,484",3,2,0
"305 VULCAN, Buffalo",0772500002001000,77.25-2-1,"$105,000",6/13/2011,"$145,000",Commercial - Auto dealer ,237.72 x 120,,,,,
"239 ROSLYN, Buffalo",0908100005035000,90.81-5-35,"$28,000",6/10/2011,"$30,000",Residential - 1 Family ResOld style,30 x 100,1923,"1,011",3,1,0
"51 BRANTFORD, Buffalo",0897000002035000,89.70-2-35,"$310,000",6/10/2011,"$402,000",Residential - 1 Family ResOld style,30 x 136,1905,"2,590",4,4,0
"209 PARKDALE, Buffalo",0888400007036000,88.84-7-36,"$55,000",6/9/2011,"$144,000",Residential - 2 Family ResOld style,30 x 135,1900,"3,016",7,2,0
"20 WINGATE, Buffalo",0786800005008000,78.68-5-8,"$190,000",6/9/2011,"$241,000",Residential - 1 Family ResOld style,40 x 152,1925,"1,842",3,1.5,1
"32 CLARENDON, Buffalo",0896300001012000,89.63-1-12,"$345,000",6/9/2011,"$388,000",Residential - 1 Family ResOld style,45 x 124,1907,"2,648",3,1.5,0
"22 KOFLER, Buffalo",0775100001021000,77.51-1-21,"$65,000",6/8/2011,"$88,000",Residential - 1 Family ResRanch,42 x 104,1962,964,3,1,0
"68 WYANDOTTE, Buffalo",0773300005022000,77.33-5-22,"$49,500",6/8/2011,"$83,000",Residential - 2 Family ResOld style,29 x 111,1916,"1,680",4,2,0
"141 MOSELLE, Buffalo",1015500002017000,101.55-2-17,"$10,000",6/8/2011,"$30,000",Residential - 2 Family ResOld style,30 x 105,1920,"1,730",6,2,0
"214 LOVERING, Buffalo",0784800004011000,78.48-4-11,"$125,000",6/8/2011,"$195,000",Residential - 2 Family ResOld style,36 x 150,1927,"2,616",6,2,0
"16 HILLSIDE, Buffalo",1332700011028000,133.27-11-28,"$30,000",6/6/2011,"$86,000",Residential - 2 Family ResOld style,30 x 105,1910,"2,212",6,2,0
"184 MASSACHUSETTS, Buffalo",0995000006030000,99.50-6-30,"$32,000",6/6/2011,"$118,000",Residential - 1 Family ResOld style,30 x 100,1900,"1,960",4,2,0
"30 TRACY, Buffalo",1112900007003000,111.29-7-3,"$140,000",6/6/2011,"$296,000",Residential - 3 Family ResOld style,28 x 90,1894,"3,018",4,3,0
"268 BAYNES, Buffalo",0887600006019000,88.76-6-19,"$120,000",6/3/2011,"$202,000",Residential - 2 Family ResOld style,32 x 133,1902,"2,688",6,2,0
"648 WALDEN, Buffalo",1016500002017000,101.65-2-17,"$2,700",6/2/2011,"$4,000",Vacant Land - Vacant comm ,36 x 106,,,,,
"80 ABBOTT, Buffalo",1237000003019000,123.70-3-19,"$61,000",6/2/2011,"$84,000",Residential - 2 Family ResOld style,33.52 x 120,1920,"2,938",6,2,0
"385 ST LAWRENCE, Buffalo",0784100005029000,78.41-5-29,"$88,500",6/2/2011,"$162,000",Residential - 2 Family ResOld style,32.75 x 138,1942,"1,792",4,2,0
"309 NORTH ST, Buffalo",100690000601100022,100.69-6-11./22,"$92,000",5/31/2011,"$81,000",Commercial - ApartmentOther style,4 x 630,1950,960,1,1,0
"132 LAKEFRONT, Buffalo",1106800004001000405,110.68-4-1./405,"$454,000",5/31/2011,"$616,000",Residential - 1 Family ResOther style,3.5 x 317.67,2009,"1,844",2,2,1
"572 MINNESOTA, Buffalo",0797400008029000,79.74-8-29,"$37,000",5/31/2011,"$52,000",Residential - 1 Family ResOld style,30 x 130,1925,"1,432",3,1,0
"482 WINSPEAR, Buffalo",0796600001002000,79.66-1-2,"$64,900",5/31/2011,"$72,000",Residential - 1 Family ResOld style,32 x 152,1935,"1,360",4,1,0
"922 PROSPECT, Buffalo",0994900004001000,99.49-4-1,"$40,200",5/31/2011,"$71,000",Residential - 1 Family ResOld style,28 x 50,1900,"1,288",3,1,0
"299 BARNARD, Buffalo",1233400004029000,123.34-4-29,"$62,500",5/31/2011,"$52,000",Residential - 1 Family ResOld style,30 x 100,1930,"1,189",3,1,0
"101 GERALD, Buffalo",0907400001005000,90.74-1-5,"$52,000",5/31/2011,"$62,000",Residential - 2 Family ResOld style,37 x 115,1940,"2,100",4,2,0
"536 AMHERST EAST, Buffalo",0902400008024000,90.24-8-24,"$42,000",5/31/2011,"$46,000",Residential - 1 Family ResOld style,35 x 102,1930,"1,323",4,1,0
"125 PIERCE ST, Buffalo",1234300009006000,123.43-9-6,"$87,000",5/27/2011,"$109,000",Residential - 1 Family ResCape cod,40 x 104,1940,"1,176",3,1,0
"76 HAYDEN, Buffalo",1237300003014000,123.73-3-14,"$34,000",5/27/2011,"$61,000",Residential - 2 Family ResOld style,30 x 110,1921,"1,812",4,2,0
"532 DOAT, Buffalo",1015100003015000,101.51-3-15,"$32,500",5/27/2011,"$49,000",Residential - 2 Family ResOld style,33 x 138,1920,"1,683",4,2,0
"69 BELMONT, Buffalo",0772600003040000,77.26-3-40,"$79,500",5/27/2011,"$84,000",Residential - 1 Family ResCape cod,64 x 133.5,1954,"1,151",3,1,0
"236 BRYANT, Buffalo",1005400001005000,100.54-1-5,"$290,000",5/27/2011,"$371,000",Residential - 1 Family ResOld style,30.5 x 145,1910,"2,783",4,3.5,2
"294 PHYLLIS, Buffalo",0904200002036000,90.42-2-36,"$47,000",5/27/2011,"$60,000",Residential - 1 Family ResCape cod,50 x 105,1945,"1,102",2,1,0
"30 ELDON, Buffalo",0797500001006000,79.75-1-6,"$122,000",5/27/2011,"$185,000",Residential - 1 Family ResColonial,50 x 140,1929,"1,582",4,1.5,1
"553 LISBON, Buffalo",0797400008010000,79.74-8-10,"$40,500",5/27/2011,"$59,000",Residential - 2 Family ResOld style,30 x 108,1929,"1,911",4,2,0
"139 NIAGARA FALLS BLVD, Buffalo",0793900004037000,79.39-4-37,"$146,000",5/26/2011,"$200,000",Commercial - Office bldg. ,72 x 0,,,,,
"40 EDGEWOOD, Buffalo",1334000003037000,133.40-3-37,"$81,000",5/26/2011,"$109,000",Residential - 2 Family ResOld style,34.75 x 105,1937,"2,630",6,2,0
"57 DENSMORE, Buffalo",1337400003011000,133.74-3-11,"$105,000",5/26/2011,"$115,000",Residential - 2 Family ResOld style,35 x 136,1923,"2,040",4,3,0
"337 ELLICOTT, Buffalo",1114600006008000,111.46-6-8,"$1,100,000",5/25/2011,"$3,000,000",Commercial - Det row bldg ,223 x 140,,,,,
"144 CARMEL, Buffalo",0786000005007000,78.60-5-7,"$114,500",5/24/2011,"$201,000",Residential - 2 Family ResOld style,40 x 126,1920,"3,002",6,2,0
"153 CRYSTAL, Buffalo",1334600001040000,133.46-1-40,"$63,600",5/24/2011,"$70,000",Residential - 1 Family ResOld style,34 x 155,1926,"1,200",3,1,0
"386 MACKINAW, Buffalo",1224100004012000,122.41-4-12,"$60,000",5/24/2011,"$87,000",Residential - 1 Family ResColonial,50 x 100,1991,"1,377",3,1.5,0
"90 CHATHAM, Buffalo",0893000002003000,89.30-2-3,"$159,900",5/24/2011,"$245,000",Residential - 1 Family ResOld style,40 x 127,1917,"1,609",4,1,1
"198 MERRIMAC, Buffalo",0794500006010000,79.45-6-10,"$58,000",5/23/2011,"$121,000",Residential - 1 Family ResOld style,30 x 132,1920,"1,410",2,1,0
"39 FAIRFIELD, Buffalo",0893600007026000,89.36-7-26,"$62,500",5/20/2011,"$132,000",Residential - 1 Family ResOld style,41 x 135,1912,"1,632",4,1.5,0
"6 ROSS, Buffalo",0775000003010000,77.50-3-10,"$35,000",5/20/2011,"$71,000",Residential - 1 Family ResOld style,30 x 100,1927,"1,134",3,1,0
"409 HIGHGATE, Buffalo",0796500006007000,79.65-6-7,"$32,000",5/20/2011,"$60,000",Residential - 1 Family ResOld style,32 x 110,1925,"1,520",3,1.5,0
"585 DELAVAN WEST, Buffalo",0897700004007000,89.77-4-7,"$160,000",5/20/2011,"$306,000",Residential - 3 Family ResOld style,32.5 x 110,1900,"2,695",5,3,0
"567 MINNESOTA, Buffalo",0797400007006000,79.74-7-6,"$25,000",5/20/2011,"$45,000",Residential - 1 Family ResOld style,30 x 130,1924,"1,245",3,1,0
"34 PROCTOR, Buffalo",0906500006033000,90.65-6-33,"$27,000",5/20/2011,"$51,000",Residential - 1 Family ResOld style,35 x 117,1929,"1,527",2,1,0
"97 MERRIMAC, Buffalo",0794600006025000,79.46-6-25,"$88,000",5/19/2011,"$120,000",Residential - 2 Family ResOld style,30 x 115,1920,"2,250",6,2,0
"696 LAFAYETTE AVE, Buffalo",0897800002013000,89.78-2-13,"$321,000",5/19/2011,"$480,000",Residential - 1 Family ResOld style,36.68 x 137,1910,"2,531",3,1.5,2
"44 FLOWER, Buffalo",0795400001012000,79.54-1-12,"$130,000",5/18/2011,"$169,000",Residential - 3 Family ResColonial,54 x 132,1965,"3,088",6,3,1
"53 PROGRESSIVE, Buffalo",0776500005017000,77.65-5-17,"$57,180",5/17/2011,"$69,000",Residential - 2 Family ResOld style,30 x 132,1900,"2,200",6,2,0
"24 ENGLEWOOD, Buffalo",0795500001005000,79.55-1-5,"$73,000",5/17/2011,"$83,000",Residential - 1 Family ResOld style,30 x 115,1910,"1,239",3,1,0
"24 RUGBY, Buffalo",0787200004026000,78.72-4-26,"$165,000",5/17/2011,"$248,000",Residential - 2 Family ResOld style,35 x 130,1925,"2,677",5,2.5,1
"1088 DELAWARE, Buffalo",10039000010320009F,100.39-1-32./9F,"$260,000",5/16/2011,"$107,000",Commercial - ApartmentOther style,2 x 215,1990,"1,043",2,2,0
"116 OGDEN NORTH, Buffalo",1125100003025000,112.51-3-25,"$40,000",5/13/2011,"$54,000",Residential - 1 Family ResOld style,30 x 135,1920,"1,496",3,1.5,0
"82 TUSCARORA, Buffalo",1335800002015000,133.58-2-15,"$85,000",5/13/2011,"$148,000",Residential - 2 Family ResOld style,44 x 126,1940,"2,016",6,2,0
"307 BEDFORD, Buffalo",0892100004017000,89.21-4-17,"$183,000",5/13/2011,"$215,000",Residential - 2 Family ResOld style,35 x 134,1921,"2,528",6,2,1
"28 REGINA, Buffalo",0898300002016000,89.83-2-16,"$32,000",5/13/2011,"$41,000",Residential - 1 Family ResOld style,30 x 100,1900,938,3,1,0
"101 ROUNDS, Buffalo",0796500004008000,79.65-4-8,"$48,000",5/13/2011,"$70,000",Residential - 1 Family ResOld style,30 x 103,1935,"1,691",4,2,0
"118 SUNSET, Buffalo",0776000001003000,77.60-1-3,"$63,000",5/13/2011,"$88,000",Residential - 1 Family ResRanch,45 x 104.5,1956,"1,050",3,1,0
"1412 KENSINGTON, Buffalo",0902600002033000,90.26-2-33,"$5,000",5/12/2011,"$4,200",Vacant Land - Res vac land ,30 x 110,,,,,
"209 OKELL, Buffalo",1337100002002000,133.71-2-2,"$63,000",5/12/2011,"$140,000",Residential - 1 Family ResOther style,50 x 117,1942,939,3,1,0
"160 GREENFIELD, Buffalo",0892700007006000,89.27-7-6,"$55,500",5/11/2011,"$181,000",Residential - 1 Family ResOld style,30 x 129,1924,"1,456",4,2,0
"542 MARILLA, Buffalo",1337100002022000,133.71-2-22,"$84,000",5/11/2011,"$88,000",Residential - 1 Family ResOld style,32 x 117,1925,"1,084",3,1,0
"87 HIGHLAND, Buffalo",1003800001027000,100.38-1-27,"$330,000",5/11/2011,"$363,000",Residential - 1 Family ResOld style,40 x 125,1889,"2,774",5,2,1
"47 ARDMORE, Buffalo",0888400005007000,88.84-5-7,"$137,250",5/10/2011,"$277,000",Residential - 2 Family ResOld style,31 x 130,1920,"2,912",6,2,0
"98 BRECKENRIDGE, Buffalo",0992600009018000,99.26-9-18,"$83,000",5/10/2011,"$84,000",Residential - 3 Family ResOld style,50 x 93.5,1900,"3,404",6,3.5,0
"96 HIGHLAND, Buffalo",1003800002064000,100.38-2-64,"$290,000",5/9/2011,"$382,000",Residential - 2 Family ResOld style,55 x 116,1900,"2,814",6,2,0
"587 BRECKENRIDGE, Buffalo",1002900002006000,100.29-2-6,"$268,000",5/9/2011,"$381,000",Residential - 1 Family ResOld style,30 x 124,1900,"1,845",2,1.5,0
"78 EAST, Buffalo",0884100006014000,88.41-6-14,"$29,500",5/9/2011,"$60,000",Residential - 1 Family ResOld style,33 x 65,1900,"1,689",4,1,0
